,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage/LotArea,GrLivArea/LotArea,YearBuiltSubtracted,YearRemodAddSubtracted,YrSoldSubtracted,CombinedBaths,LotAreaSquared,OverallQualSquared,OverallCondSquared,FullBathSquared,HalfBathSquared,CombinedBathsSquared,TotRmsAbvGrdSquared,LotFrontage/LotAreaSquared,GrLivArea/LotAreaSquared,YearBuiltSubtractedSquared,YearRemodAddSubtractedSquared,YrSoldSubtractedSquared,LotFrontageLogged,LotAreaLogged,OverallQualLogged,OverallCondLogged,YearBuiltLogged,YearRemodAddLogged,1stFlrSFLogged,GrLivAreaLogged,TotRmsAbvGrdLogged,MoSoldLogged,YrSoldLogged,LotFrontage/LotAreaLogged,GrLivArea/LotAreaLogged,YearBuiltSubtractedLogged,YearRemodAddSubtractedLogged,YrSoldSubtractedLogged,LotAreaSquaredLogged,OverallQualSquaredLogged,OverallCondSquaredLogged,TotRmsAbvGrdSquaredLogged,LotFrontage/LotAreaSquaredLogged,GrLivArea/LotAreaSquaredLogged,YearBuiltSubtractedSquaredLogged,YearRemodAddSubtractedSquaredLogged,YrSoldSubtractedSquaredLogged
0,1,60,RL,65.0,8450,Pave,No Value,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,No Value,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,No Value,No Value,No Value,0,2,2008,WD,Normal,208500,0.007692307692307693,0.20236686390532543,0.0625,0.0625,0.09090909090909091,2.5,71402500,49,25,4,1,6.25,64,5.91715976331361e-05,0.04095234760687651,0.00390625,0.00390625,0.008264462809917356,1.8129133566428555,3.926856708949692,0.8450980400142568,0.6989700043360189,3.3016809492935764,3.3016809492935764,2.932473764677153,3.2329961103921536,0.9030899869919435,0.3010299956639812,3.3027637084729817,-2.113943352306837,-0.6938605985575386,-1.2041199826559248,-1.2041199826559248,-1.041392685158225,7.853713417899384,1.6901960800285136,1.3979400086720377,1.806179973983887,-4.227886704613674,-1.3877211971150771,-2.4082399653118496,-2.4082399653118496,-2.0827853703164503
1,2,20,RL,80.0,9600,Pave,No Value,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,No Value,No Value,No Value,0,5,2007,WD,Normal,181500,0.008333333333333333,0.13145833333333334,0.023255813953488372,0.023255813953488372,0.08333333333333333,2.0,92160000,36,64,4,0,4.0,36,6.944444444444444e-05,0.01728129340277778,0.0005408328826392644,0.0005408328826392644,0.006944444444444444,1.9030899869919435,3.9822712330395684,0.7781512503836436,0.9030899869919435,3.295786940251609,3.295786940251609,3.1010593549081156,3.1010593549081156,0.7781512503836436,0.6989700043360189,3.3025473724874854,-2.0791812460476247,-0.8812118781314529,-1.6334684555795866,-1.6334684555795866,-1.0791812460476249,7.964542466079137,1.5563025007672873,1.806179973983887,1.5563025007672873,-4.158362492095249,-1.7624237562629057,-3.2669369111591733,-3.2669369111591733,-2.1583624920952498
2,3,60,RL,68.0,11250,Pave,No Value,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,No Value,No Value,No Value,0,9,2008,WD,Normal,223500,0.006044444444444444,0.15875555555555557,0.05555555555555555,0.058823529411764705,0.09090909090909091,2.5,126562500,49,25,4,1,6.25,36,3.653530864197531e-05,0.02520332641975309,0.0030864197530864196,0.0034602076124567475,0.008264462809917356,1.8325089127062364,4.051152522447381,0.8450980400142568,0.6989700043360189,3.3012470886362113,3.3014640731433,2.963787827345555,3.2518814545525276,0.7781512503836436,0.9542425094393249,3.3027637084729817,-2.218643609741145,-0.7992710678948537,-1.255272505103306,-1.2304489213782739,-1.041392685158225,8.102305044894763,1.6901960800285136,1.3979400086720377,1.5563025007672873,-4.43728721948229,-1.5985421357897072,-2.510545010206612,-2.4608978427565478,-2.0827853703164503
3,4,70,RL,60.0,9550,Pave,No Value,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,No Value,No Value,No Value,0,2,2006,WD,Abnorml,140000,0.0062827225130890054,0.17979057591623038,0.009615384615384616,0.02040816326530612,0.07692307692307693,1.0,91202500,49,25,1,0,1.0,49,3.947260217647543e-05,0.032324651188289796,9.245562130177516e-05,0.00041649312786339016,0.00591715976331361,1.7781512503836436,3.9800033715837464,0.8450980400142568,0.6989700043360189,3.2821687783046416,3.294466226161593,2.9827233876685453,3.2347702951609163,0.8450980400142568,0.3010299956639812,3.302330928684399,-2.2018521212001025,-0.7452330764228298,-2.0170333392987803,-1.6901960800285136,-1.1139433523068367,7.960006743167493,1.6901960800285136,1.3979400086720377,1.6901960800285136,-4.403704242400205,-1.4904661528456598,-4.0340666785975605,-3.3803921600570273,-2.2278867046136734
4,5,60,RL,84.0,14260,Pave,No Value,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,No Value,No Value,No Value,0,12,2008,WD,Normal,250000,0.005890603085553997,0.1541374474053296,0.05263157894736842,0.05263157894736842,0.09090909090909091,2.5,203347600,64,25,4,1,6.25,81,3.4699204711538276e-05,0.023758352692630744,0.0027700831024930744,0.0027700831024930744,0.008264462809917356,1.9242792860618816,4.1541195255158465,0.9030899869919435,0.6989700043360189,3.3010299956639813,3.3010299956639813,3.0588054866759067,3.3420276880874717,0.9542425094393249,1.0791812460476249,3.3027637084729817,-2.229840239453965,-0.812091837428375,-1.278753600952829,-1.278753600952829,-1.041392685158225,8.308239051031693,1.806179973983887,1.3979400086720377,1.9084850188786497,-4.45968047890793,-1.62418367485675,-2.557507201905658,-2.557507201905658,-2.0827853703164503
5,6,50,RL,85.0,14115,Pave,No Value,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,No Value,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,No Value,MnPrv,Shed,700,10,2009,WD,Normal,143000,0.0060219624512929506,0.09649309245483528,0.038461538461538464,0.041666666666666664,0.1,1.5,199233225,25,25,1,1,2.25,25,3.62640317647822e-05,0.00931091689149739,0.0014792899408284025,0.001736111111111111,0.010000000000000002,1.9294189257142926,4.149680882482938,0.6989700043360189,0.6989700043360189,3.2995072987004876,3.299942900022767,2.900913067737669,3.1341771075767664,0.6989700043360189,1.0,3.3029799367482493,-2.2202619567686455,-1.0155037749061717,-1.414973347970818,-1.3802112417116061,-1.0,8.299361764965877,1.3979400086720377,1.3979400086720377,1.3979400086720377,-4.440523913537291,-2.0310075498123434,-2.829946695941636,-2.7604224834232123,-2.0
6,7,20,RL,75.0,10084,Pave,No Value,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,No Value,No Value,No Value,0,8,2007,WD,Normal,307000,0.007437524791749306,0.16798889329631098,0.06666666666666667,0.07142857142857142,0.08333333333333333,2.0,101687056,64,25,4,0,4.0,49,5.5316775027885555e-05,0.028220268270919356,0.0044444444444444444,0.00510204081632653,0.006944444444444444,1.8750612633917,4.0036328370044085,0.9030899869919435,0.6989700043360189,3.301897717195208,3.302114376956201,3.228913405994688,3.228913405994688,0.8450980400142568,0.9030899869919435,3.3025473724874854,-2.1285715736127084,-0.7747194310097202,-1.1760912590556813,-1.146128035678238,-1.0791812460476249,8.007265674008817,1.806179973983887,1.3979400086720377,1.6901960800285136,-4.257143147225417,-1.5494388620194404,-2.3521825181113627,-2.292256071356476,-2.1583624920952498
7,8,60,RL,80.0,10382,Pave,No Value,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,No Value,No Value,Shed,350,11,2009,WD,Normal,200000,0.0077056443845116545,0.20130995954536698,0.021739130434782608,0.021739130434782608,0.1,2.5,107785924,49,36,4,1,6.25,49,5.9376955380555994e-05,0.04052569981215729,0.00047258979206049145,0.00047258979206049145,0.010000000000000002,1.9030899869919435,4.01628102454283,0.8450980400142568,0.7781512503836436,3.295127085252191,3.295127085252191,3.044147620878723,3.3201462861110542,0.8450980400142568,1.0413926851582251,3.3029799367482493,-2.113191037550887,-0.6961347384317764,-1.662757831681574,-1.662757831681574,-1.0,8.03256204908566,1.6901960800285136,1.5563025007672873,1.6901960800285136,-4.226382075101774,-1.3922694768635528,-3.325515663363148,-3.325515663363148,-2.0
8,9,50,RM,51.0,6120,Pave,No Value,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,No Value,No Value,No Value,0,4,2008,WD,Abnorml,129900,0.008333333333333333,0.28986928104575166,0.011363636363636364,0.014492753623188406,0.09090909090909091,2.0,37454400,49,25,4,0,4.0,64,6.944444444444444e-05,0.08402420009398096,0.00012913223140495868,0.00021003990758244068,0.008264462809917356,1.7075701760979363,3.7867514221455614,0.8450980400142568,0.6989700043360189,3.285782273779395,3.290034611362518,3.009450895798694,3.2489536154957075,0.9030899869919435,0.6020599913279624,3.3027637084729817,-2.0791812460476247,-0.5377978066498535,-1.9444826721501687,-1.8388490907372552,-1.041392685158225,7.573502844291123,1.6901960800285136,1.3979400086720377,1.806179973983887,-4.158362492095249,-1.075595613299707,-3.8889653443003374,-3.6776981814745104,-2.0827853703164503
9,10,190,RL,50.0,7420,Pave,No Value,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,No Value,No Value,No Value,0,1,2008,WD,Normal,118000,0.006738544474393531,0.14514824797843665,0.0125,0.014492753623188406,0.09090909090909091,1.0,55056400,25,36,1,0,1.0,25,4.54079816333796e-05,0.021068013891209738,0.00015625000000000003,0.00021003990758244068,0.008264462809917356,1.6989700043360187,3.870403905279027,0.6989700043360189,0.7781512503836436,3.2875778090787056,3.290034611362518,3.0322157032979815,3.0322157032979815,0.6989700043360189,0.0,3.3027637084729817,-2.171433900943008,-0.8381882019810455,-1.9030899869919435,-1.8388490907372552,-1.041392685158225,7.740807810558054,1.3979400086720377,1.5563025007672873,1.3979400086720377,-4.342867801886016,-1.676376403962091,-3.806179973983887,-3.6776981814745104,-2.0827853703164503
